Ticker,Company Name,Market Cap,Currency,Exchange,Price,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",321785675432,EUR,EURONEXT,643.9,true,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne operates as a luxury goods company worldwide. The company offers champagnes, wines, and spirits under the Clos des Lambrays, Château d'Yquem, Dom Pérignon, Ruinart, Moët & Chandon, Hennessy, Veuve Clicquot, Ardbeg, Château Cheval Blanc, Glenmorangie, Krug, Mercier, Chandon, Cape Mentelle, Newton Vineyard, Cloudy Bay, Belvedere, Terrazas de los Andes, Bodega Numanthia, Cheval des Andes, Woodinville, Ao Yun, Clos19, and Volcan de mi Tierra brands. It also provides fashion and leather products under the Berluti, Celine, Christian Dior, Emilio Pucci, FENDI, Givenchy, Kenzo, Loewe, Loro Piana, Louis Vuitton, Marc Jacobs, Moynat, Patou, and RIMOWA brands. In addition, the company offers perfumes and cosmetics under the Acqua di Parma, Benefit Cosmetics, Cha Ling, Fenty Beauty by Rihanna, Fresh, Givenchy Parfums, Guerlain, KVD Beauty, Kenzo Parfums, Maison Francis Kurkdjian, Make Up For Ever, Marc Jacobs Beauty, Officine Universelle Buly, Parfums Christian Dior, and Perfumes Loewe brands; watches and jewelry under the Bulgari, Chaumet, Fred, Hublot, Repossi, TAG Heuer, Tiffany & Co., and Zenith brands; and custom-designed yachts under the Feadship brand name, as well as designs and builds luxury yachts under the Royal Van Lent brand. Further, it provides daily newspapers under the Les Échos brand; Belmond, a luxury tourism service; home other activities under the Belmond, Cheval Blanc, Connaissance des Arts, Cova, Investir, Jardin d'Acclimatation, La Samaritaine, Le Parisien, and Radio Classique brands; and selective retailing products under the DFS, La Grande Epicerie de Paris, Le Bon Marché Rive Gauche, Sephora, and Starboard Cruise Services brands, as well as operates Jardin d'Acclimatation, a leisure and amusement park. The company operates 5,556 stores. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was incorporated in 1923 and is headquartered in Paris, France.",https://www.lvmh.com,192287,86153000000,93045240000,,,,,,
ITX.MC,"Industria de Diseño Textil, S.A.",158540477439,EUR,BME,50.9,true,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household textile products through various retail concepts. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",https://www.inditex.com,153541,35947000000,38822760000,,,,,,
CDI.PA,Christian Dior SE,108968282656,EUR,EURONEXT,604.0,true,"Christian Dior SE, through its subsidiaries, engages in the production, distribution, and retail of fashion and leather goods, wines and spirits, perfumes and cosmetics, and watches and jewelry worldwide. The company offers its fashion and leather goods under the Louis Vuitton, Christian Dior Couture, Loewe, Marc Jacobs, Celine, Kenzo, Givenchy, Pink Shirtmaker, Emilio Pucci, Berluti, Loro Piana, Rimowa brand names; wines and spirits under the Hennessy, Glenmorangie, Ardbeg, a Belvedere, Volcán de mi Tierra, Moët & Chandon, Dom Pérignon, Veuve Clicquot, Krug, Château d'Yquem, Ruinart, Belvedere, Glenmorangie, Newton Vineyards, Bodega Numanthia, and Château d'Esclans brand names; and perfumes and cosmetics under the Parfums Christian Dior, Guerlain, Parfums Givenchy, Make Up For Ever, Benefit Cosmetics, Fresh, Acqua di Parma, KVD Vegan Beauty, Fenty, Ole Henriksen, and Maison Francis Kurkdjian brand names. It also provides watches and jewelry under the Tiffany, Bvlgari, TAG Heuer, Zenith, Hublot, Chaumet, and Fred brand names. In addition, the company operates retail stores under the DFS Galleria, Sephora, Le Bon Marché, and Ile de Beauté names; publishes Le Parisien- Aujourd'hui en France, a daily newspaper; designs and builds yachts; and operates the Cova pastry shops. Further, it is involved in real estate activities under the La Samaritaine brand name; and hotel business. The company sells its products through store network, including e-commerce websites; and agents and distributors. As of December 31, 2021, it operated 5,556 stores. The company was incorporated in 1946 and is headquartered in Paris, France. Christian Dior SE was formerly a subsidiary of Semyrhamis SA.",https://www.dior-finance.com,164431,86153000000,93045240000,,,,,,
KER.PA,Kering SA,27986647030,EUR,EURONEXT,228.3,true,"Kering SA develops, designs, manufactures, markets, and sells apparel and accessories. The company offers shoes; leather goods, including handbags and wallets, purses, and other leather products; eyewear, textile accessories, etc.; and jewelry and watches, as well as ready-to-wear products for men and women. It also provides perfumes and cosmetics. The company provides Gucci, Saint Laurent, Bottega Veneta, Alexander McQueen, Balenciaga, Brioni, Boucheron, Pomellato, DoDo, Qeelin, Girard-Perregaux, Ulysse Nardin, and Kering Eyewear branded products. It sells its products through stores and e-commerce sites. As of December 31, 2021, it operated 1,565 stores. Kering SA sells its products in the Asia-Pacific, Western Europe, North America, Japan, and internationally. The company was formerly known as PPR SA and changed its name to Kering SA in June 2013. Kering SA was founded in 1963 and is based in Paris, France.",https://www.kering.com,46444,19566000000,21131280000,,,,,,
RMS.PA,Hermès International Société en commandite par actions,248419896824,EUR,EURONEXT,2372.0,true,"Hermès International Société en commandite par actions engages in the production, wholesale, and retail of various goods. The company offers leather goods and saddlery, such as bags for men and women, clutches, briefcases, luggage, small leather goods, diaries and writing objects, saddles, bridles, and a range of equestrian products and clothing; ready-to-wear garments for men and women; and accessories, including jewelry, belts, hats, gloves, the Internet of Things products, and shoes. It also provides silk and textiles for men and women; art of living and tableware products; perfumes; and watches. In addition, the company is also involved in weaving, engraving, printing, dyeing, finishing, and producing textiles; and purchasing, tanning, dyeing, finishing, and selling precious leathers. It sells its products through a network of 303 stores worldwide. The company also sells watches, perfumes, and tableware through a network of specialized stores. Hermès International Société en commandite par actions was founded in 1837 and is based in Paris, France. Hermès International Société en commandite par actions operates as a subsidiary of H51 SAS.",https://finance.hermes.com,23242,13427000000,14501160000.000002,,,,,,
CFR.SW,Compagnie Financière Richemont SA,80899516246,CHF,SIX,139.75,true,"Compagnie Financière Richemont SA engages in the luxury goods business in Europe, the Middle East, Africa, Asia, and the Americas. The company operates through Jewellery Maisons, Specialist Watchmakers, and Online Distributors segments. It designs, manufactures, and distributes jewelry products; and precision timepieces, watches, and writing instruments, as well as clothing, and leather goods and accessories. The company offers its products under the Cartier, Van Cleef & Arpels, Buccellati, A. Lange & Söhne, Baume & Mercier, IWC Schaffhausen, Jaeger LeCoultre, Panerai, Piaget, Roger Dubuis, Vacheron Constantin, Watchfinder & Co., YOOX, NET-A-PORTER, MR PORTER, The Outnet, Alaïa, Chloé, Montblanc, Peter Millar, Purdey, Serapian, TIMEVALLEE, dunhill, Delvaux, and AZ Factory brands through own boutiques and online stores. Compagnie Financière Richemont SA was incorporated in 1979 and is headquartered in Bellevue, Switzerland.",https://www.richemont.com,37117,20616000000,23502239999.999996,,,,,,
ADS.DE,adidas AG,43851655030,EUR,XETRA,245.6,true,"adidas AG, together with its subsidiaries, designs, develops, distributes, and markets athletic and sports lifestyle products worldwide. It offers footwear; apparel; and accessories and gear, such as bags and balls under the adidas brand. It sells its products through approximately 2,200 own-retail stores; mono-branded franchise stores and shop-in-shops; and wholesale and its e-commerce channels. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany.",https://www.adidas-group.com,51561,21427000000,23141160000,,,,,,
9983.T,"Fast Retailing Co., Ltd.",15981113309900,JPY,JPX,52100.0,true,"Fast Retailing Co., Ltd., through its subsidiaries, operates as an apparel designer and retailer in Japan and internationally. The company operates through four segments: UNIQLO Japan, UNIQLO International, GU, and Global Brands. It manufactures and retails clothing for men, women, children, and babies; and lingerie, as well as other goods and items. The company operates stores and franchises under the UNIQLO, GU, PLST, Theory, COMPTOIR DES COTONNIERS, J Brand, and PRINCESSE TAM.TAM brand names. It also sells its products through online; and provides real estate leasing services. The company was formerly known as Ogori Shoji Co., Ltd. and changed its name to Fast Retailing Co., Ltd. in September 1991. Fast Retailing Co., Ltd. was founded in 1949 and is headquartered in Yamaguchi, Japan.",https://www.fastretailing.com,59871,3103836000000,21106084800,,,,,,
EL.PA,EssilorLuxottica SA,107513388632,EUR,EURONEXT,235.9,true,"EssilorLuxottica Société anonyme designs, manufactures, and distributes ophthalmic lenses, frames, and sunglasses in North America, Europe, Latin America, Asia, Oceania, and Africa. It operates in five segments: Wholesale, Retail, Lenses and Optical Instruments, Equipment, and Sunglasses and Readers. The Wholesale segment engages in the manufacture and wholesale distribution of luxury and sports eyewear. The Retail segment retails luxury and sports eyewear. The Lenses and Optical Instruments segment offers lenses and small equipment, including Varilux progressive lenses; Crizal antireflective, anti-smudge, and antistatic lenses; Transitions photochromic lenses; Eyezen lenses for users of computers, tablets, smartphones, and other connected devices; Xperio polarized sun lenses; and Nikon and Kodak corrective lens brands. It also provides lens edging and mounting instruments for opticians and prescription laboratories; optometry instruments for eye care professionals, schools, occupational medicine centers, military, and other institutions; and Transitions Signature Gen 8 photochromic lens, as well as develops solutions for online sales of optical products. The Equipment segment offers digital surfacing machines and lens coating machines to prescription laboratories, integrated optical chains, and lens manufacturers. The Sunglasses and Readers segment provides non-prescription sunglasses and reading glasses under the Foster Grant, Gargoyles, Magnivision, Corinne McCormack, Monkey Monkey, Ryders Eyewear, and SolarShield brands; Reebok, Steve Madden, Betsey Johnson, Nine West, Dockers, French Connection, Ironman, Rawlings, Bodyglove, Panama Jack, Marvel, and Disney; Bolon, Molsion, Qina, and Prosun brands; and Mujosh and Aojo brands. It has a network of 490 prescription laboratories and edging-mounting facilities. The company was formerly known as Essilor International Société Anonyme and changed its name to EssilorLuxottica Société anonyme in October 2018. EssilorLuxottica Société anonyme was founded in 1849 and is headquartered in Paris, France.",https://www.essilorluxottica.com,193693,25395000000,27426600000,,,,,,
HM-B.ST,H & M Hennes & Mauritz AB (publ),238981289016,SEK,STO,146.05,true,"H & M Hennes & Mauritz AB (publ) provides clothing, accessories, footwear, cosmetics, home textiles, and homeware for women, men, teenagers, children, and babies worldwide. It offers sportswear, shoes, bags, beauty products, and ready-to-wear; and interior products, including bed linens, dinnerware, textiles, furniture, and lighting. The company provides its products under the H&M, H&M HOME, COS, & Other Stories, Monki, Weekday, ARKET, Afound, Singular Society, Treadler, Creator Studio, and Sellpy brands. As of November 30, 2021, the company had 54 online markets and approximately 4,801 stores in 75 markets, including franchise markets. H & M Hennes & Mauritz AB (publ) was founded in 1947 and is headquartered in Stockholm, Sweden.",https://www.hmgroup.com,143000,236035000000,22659360000,,,,,,
