Ticker,Company Name,Market Cap,Currency,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE
BCUCY,BRUNELLO CUCIN UNSP/ADR,,,true,,,,,,,,,,,
MYTE,"MYT Netherlands Parent B.V. American Depositary Shares, each representing one Ordinary Share",248728277.21,,true,"MYT Netherlands Parent BV is a luxury e-commerce platform. The company offers luxury fashion wear for men, women, and kids. Also, the company sells shoes, bags, and accessories.",https://www.mytheresa.com,,,,,,,,,
BIRK,Birkenstock Holding plc,7231285292,,true,"Birkenstock Holding PLC is a company that manufactures and sells footbed-based products, including sandals, closed-toe silhouettes, and other products, such as skincare and accessories, for everyday, leisure, and work. The company operates in four operating segments based on its regional hubs: Americas, Europe and Asia, the South Pacific and Australia (ASPA), and the Middle East, Africa, and India (MEAI). The company sells its products through two main channels: business-to-business (B2B) (comprising sales made to established third-party store networks) and direct-to-consumer (DTC).",https://www.birkenstock-holding.com,,,,,,,,,
DBI,Designer Brands Inc.,535981843.62000006,,true,"Designer Brands Inc is a designer, producer and retailer of footwear and accessories. The company operates in three reportable segments: the U.S. Retail segment, the Canada Retail segment, and the Brand Portfolio segment. The U.S. Retail segment operates the DSW Designer Shoe Warehouse banner through its direct-to-consumer U.S. stores and e-commerce site. The Canada Retail segment operates The Shoe Company and DSW banners through its direct-to-consumer Canada stores and e-commerce sites. The Brand Portfolio segment earns revenue from the sale of wholesale products to retailers, commissions for serving retailers as the design and buying agent for products under private labels and the sale of branded products through its direct-to-consumer e-commerce site at www.vincecamuto.com.",https://www.designerbrands.com,,,,,,,,,
NKE,"Nike, Inc.",153530293410,,true,"Nike is the largest athletic footwear and apparel brand in the world. Key categories include basketball, running, and football (soccer). Footwear generates about two thirds of its sales. Its brands include Nike, Jordan, and Converse (casual footwear). Nike sells products worldwide through company-owned stores, franchised stores, and third-party retailers. The firm also operates e-commerce platforms in more than 40 countries. Nearly all its production is outsourced to contract manufacturers in more than 30 countries. Nike was founded in 1964 and is based in Beaverton, Oregon.",https://www.nike.com,,,,,,,,,
TJX,"TJX Companies, Inc. (The)",100747733585.24,,true,"TJX is a leading off-price retailer of apparel, home fashions, and other merchandise. It sells a variety of branded goods, opportunistically buying inventory from a network of over 21,000 vendors worldwide. TJX targets undercutting conventional retailers' regular prices by 20%-60%, capitalizing on a flexible merchandising network, low-frills stores, and a treasure-hunt shopping experience to drive margins and inventory turnover. TJX derived 77% of fiscal 2023 revenue from the United States, with 12% from Europe (mostly the United Kingdom and Germany), 10% from Canada, and the remainder from Australia. The company operated more than 4,800 stores at the end of fiscal 2023 under the T.J. Maxx, T.K. Maxx, Marshalls, HomeGoods, Winners, Homesense, and Sierra banners.",https://www.tjx.com,,,,,,,,,
VFC,V.F. Corporation,5094176223.4,,true,"VF designs, produces, and distributes branded apparel, footwear, and accessories. Its apparel categories are active, outdoor, and work. Its portfolio of about a dozen brands includes Vans, The North Face, Timberland, Supreme, and Dickies. VF markets its products in the Americas, Europe, and Asia-Pacific through wholesale sales to retailers, e-commerce, and branded stores owned by the company and partners. The company has grown through multiple acquisitions and traces its roots to 1899.",https://www.vfc.com,,,,,,,,,
TPR,"Tapestry, Inc. Common Stock",6092542875.36,,true,"Coach, Kate Spade, and Stuart Weitzman are Tapestry's fashion and accessory brands. The firm's products are sold through about 1,400 company-operated stores, wholesale channels, and e-commerce in North America (66% of fiscal 2023 sales), Europe, Asia (29% of fiscal 2023 sales), and elsewhere. Coach (75% of fiscal 2023 sales) is best known for affordable luxury leather products. Kate Spade (21% of fiscal 2023 sales) is known for colorful patterns and graphics. Women's handbags and accessories produced 69% of Tapestry's sales in fiscal 2023. Stuart Weitzman (4% of sales) generates nearly all its revenue from women's footwear. In August 2023, Tapestry agreed to acquire rival Capri and its three brands, Michael Kors, Versace, and Jimmy Choo.",https://www.tapestry.com,,,,,,,,,
LULU,lululemon athletica inc.,50020488340.76,,true,"Lululemon Athletica Inc. designs, distributes, and markets athletic apparel, footwear, and accessories for women, men, and girls. Lululemon offers pants, shorts, tops, and jackets for both leisure and athletic activities such as yoga and running. The company also sells fitness accessories, such as bags, yoga mats, and equipment. Lululemon sells its products through more than 670 company-owned stores in 19 countries, e-commerce, outlets, and wholesale accounts. The company was founded in 1998 and is based in Vancouver, Canada.",https://www.lululemon.com,,,,,,,,,
CPRI,Capri Holdings Limited,5880155289.35,,true,"Michael Kors, Versace, and Jimmy Choo are the brands of Capri Holdings, a marketer, distributor, and retailer of upscale accessories and apparel. Michael Kors, Capri's largest brand, offers handbags, footwear, and apparel through more than 800 company-owned stores, wholesale, and e-commerce. Versace (acquired in 2018) is known for its ready-to-wear luxury fashion, while Jimmy Choo (acquired in 2017) is best known for women's luxury footwear. John Idol has served as CEO since 2003.",https://www.capriholdings.com,,,,,,,,,
M,Macy's Inc.,3300028584.6600003,,true,"Founded in 1858 and based in New York City, Macy's operates about 550 stores under the Macy's nameplate, nearly 60 stores under the Bloomingdale's (full-price and outlet) and Bloomie's nameplates, and 158 freestanding Bluemercury specialty beauty stores. Macy's also operates e-commerce sites and licenses two Bloomingdale's stores in the United Arab Emirates and Kuwait. Women's apparel, accessories, shoes, cosmetics, and fragrances composed 61% of Macy's 2022 sales.",https://www.macysinc.com,,,,,,,,,
RL,Ralph Lauren Corporation,7274255349.150001,,true,"Founded by designer Ralph Lauren in 1967 in New York City, Ralph Lauren Corp. designs, markets, and distributes lifestyle products in North America, Europe, and Asia. Its products include apparel, footwear, eyewear, jewelry, handbags, home goods, and fragrances. The company's brands include Ralph Lauren Collection, Polo Ralph Lauren, and Lauren Ralph Lauren. Distribution channels for Ralph Lauren include wholesale (department stores and specialty stores), retail (company-owned retail stores and e-commerce), and licensing.",https://www.ralphlauren.com,,,,,,,,,
JWN,"Nordstrom, Inc.",2276432083.2,,true,"Nordstrom is a fashion retailer that operates about 94 department stores and approximately 250 off-price Nordstrom Rack stores. The company also operates both full- and off-price e-commerce sites, two clearance stores, and seven Local locations. Nordstrom's largest merchandise categories are women's apparel (28% of 2022 sales), shoes (26% of 2022 sales), men's apparel (15% of 2022 sales), and women's accessories (13% of 2022 sales). Nordstrom, which traces its history to a shoe store opened in Seattle in 1901, continues to be partially owned and managed by members of the eponymous family.",https://www.Nordstrom.com,,,,,,,,,
SKX,"Skechers U.S.A., Inc.",7196062441.5,,true,"Skechers USA Inc is a lifestyle footwear company under the Skechers GO brand name. Products offered include various styles of women's shoes, men's shoes, girl's shoes, boy's shoes, performance shoes, and work shoes. Allied products offered are apparel, bags, eyewear, toys, and more. Its products are available for sale at department and specialty stores, athletic and independent retailers, boutiques, and internet retailers. The company's operating segments include Wholesale, and Direct-to-Consumer. It generates maximum revenue from the Wholesale segment.",https://www.skechers.com,,,,,,,,,
CRI,Carter's Inc.,2447376739.68,,true,"Carter's Inc makes apparel for babies and children under brand names including Carter's and OshKosh B'gosh. It sells its products through a multi-channel business model, which includes retail stores, eCommerce, and wholesale sales channels, as well as retail omnichannel capabilities in the United States and Canada, which enables it to reach a broad range of consumers around the world. The company operates in three segments; U.S. Retail, U.S. Wholesale, and International. The majority of Carter's sales are in the U.S. and through Carter's brand. The company predominantly sources products through contract manufacturers in Asia. It has multiple distribution centers in the U.S., in addition to distribution centers in Canada and Asia that serve international customers.",https://www.carters.com,,,,,,,,,
